Groups,mpf_type
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,-
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_I
0,-
0,MPF_F
0,MPF_I
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
0,MPF_F
