IncFIA
Col156
IncC
Col8282
ColRNAI_rep_cluster_1857
ColpVC
IncFIB
IncFIC
IncFII
IncR
rep_cluster_2244
IncI-gamma/K1
rep_cluster_2350
rep_cluster_2327
IncX1
ColRNAI_rep_cluster_1987
IncN
IncU
rep_cluster_1418
rep_cluster_2335
rep_cluster_2183
IncY
rep_cluster_2373
rep_cluster_1451
rep_cluster_2358
rep_cluster_1195
rep_cluster_2078
rep_cluster_2370
rep_cluster_1068
IncA
IncHI1B
IncHI2A
IncQ1
rep_cluster_1218
rep_cluster_1481
rep_cluster_1088
rep_cluster_1444
IncP
rep_cluster_2020
rep_cluster_688
rep_cluster_294
rep_cluster_1804
rep_cluster_1486
rep_cluster_1254
rep_cluster_282
rep_cluster_1656
rep_cluster_1134
rep_cluster_858
rep_cluster_1506
rep_cluster_1226
rep_cluster_1527
rep_cluster_2405
rep_cluster_1010
rep_cluster_2392
rep_cluster_2374
IncI1/B/O
IncK2/Z
IncI2
rep_cluster_1017
Inc18
rep_cluster_1110
rep_cluster_1118
rep_cluster_155
rep_cluster_1733
rep_cluster_1074
rep_cluster_1018
rep_cluster_1215
rep_cluster_1281
rep_cluster_1230
rep_cluster_2176
rep_cluster_2022
rep_cluster_2401
IncX3
ColKP3
rep_cluster_185
rep_cluster_889
rep_cluster_1093
rep_cluster_2146
rep_cluster_2351
rep_cluster_556
rep_cluster_1058
rep_cluster_1763
rep_cluster_893
rep_cluster_183
rep_cluster_980
rep_cluster_443
Inc11
rep_cluster_1027
rep_cluster_180
rep_cluster_153
rep_cluster_1968
rep_cluster_2104
rep_cluster_554
rep_cluster_992
rep_cluster_2300
Col(MP18)
rep_cluster_2406
IncL/M
rep_cluster_1742
rep_cluster_1249
rep_cluster_1197
rep_cluster_1291
rep_cluster_1154
rep_cluster_1233
rep_cluster_1172
rep_cluster_1259
rep_cluster_1282
rep_cluster_1906
rep_cluster_1364
rep_cluster_1903
rep_cluster_1229
rep_cluster_1244
rep_cluster_1328
rep_cluster_1255
rep_cluster_167
rep_cluster_1948
rep_cluster_1880
rep_cluster_2119
rep_cluster_1567
rep_cluster_707
rep_cluster_731
rep_cluster_1607
rep_cluster_589
rep_cluster_1006
rep_cluster_2131
rep_cluster_2150
rep_cluster_2141
Col(MG828)
rep_cluster_1778
rep_cluster_935
rep_cluster_1077
rep_cluster_943
rep_cluster_1535
IncHI1A
rep_cluster_1053
rep_cluster_737
rep_cluster_763
rep_cluster_488
rep_cluster_172
rep_cluster_778
rep_cluster_1465
rep_cluster_414
rep_cluster_570
rep_cluster_516
rep_cluster_342
rep_cluster_667
rep_cluster_656
rep_cluster_660
rep_cluster_661
rep_cluster_799
rep_cluster_800
rep_cluster_619
rep_cluster_734
rep_cluster_1621
rep_cluster_1662
rep_cluster_1857
IncX4
rep_cluster_1704
rep_cluster_1449
rep_cluster_1467
rep_cluster_382
