Groups,GC
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,mean
1,mean
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,mean
1,high
1,high
1,high
1,high
1,high
1,high
1,mean
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,high
1,mean
1,mean
1,mean
1,mean
1,mean
1,mean
1,mean
1,mean
1,mean
1,mean
1,mean
1,mean
