Groups,GC
0,high
0,mean
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,high
0,mean
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,mean
0,mean
0,mean
0,mean
0,mean
0,mean
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
0,high
