Psum,smallest,small,average,large,lower,low,mean,high,higher,circular,linear,rep_cluster_707,MOBF,MOBP,MOBQ,MOBC,MOBH,MOBV,MPF_F,MPF_I,MPF_T,oriT_MOBP,PF09140.14,PF00528.25,PF03466.23,PF04335.16,PF13728.9,PF16932.8,PF00271.34,PF13817.9,PF11799.11,PF13520.9,PF01751.25,PF03524.18,PF12293.11,PF12696.10,PF02796.18,PF04945.16,PF00486.31,PF03050.17,PF13304.9,PF02775.24,PF06586.14,PF00126.30,PF02776.21,PF13560.9,PF00702.29,PF00005.30,PF00145.20,PF06067.14,PF01443.21,PF00665.29,PF06986.14,PF02899.20,PF08388.14,PF06952.14,PF02463.22,PF01609.24,PF18821.4,PF07690.19,PF00239.24,PF07732.18,PF01131.23,PF13700.9,PF05101.16,PF13671.9,PF08751.14,PF06406.14,PF01464.23,PF06122.14,PF07424.14,PF00440.26,PF00892.23,PF01580.21,PF19357.2,PF06290.14,PF00753.30,PF00532.24,PF13683.9,PF16509.8,PF00497.23,PF00816.24,PF13586.9,PF00817.23,PF08534.13,PF09673.13,PF07996.14,PF08535.13,PF13333.9,PF16816.8,PF13610.9,PF13518.9,PF04956.16,PF09676.13,PF02737.21,PF07728.17,PF09677.13,PF03135.17,PF00589.25,PF13276.9,PF01527.23,PF13434.9,PF03743.17,PF01850.24,PF12831.10,PF13007.10,PF13340.9,PF02374.18,PF00436.28,PF00717.26,PF19044.3,PF02534.17,PF07015.14,PF00437.23,PF02195.21,PF10609.12,PF06564.15,PF00122.23,PF02518.29,PF13751.9,PF01022.23,PF05309.14,PF01266.27,PF01547.28,PF05513.14,PF13708.9,PF11393.11,PF04610.17,PF01381.25,PF13342.9,PF13416.9,PF13604.9,PF00462.27,PF02811.22,PF07733.15,PF17657.4,PF13154.9,PF05284.15,PF13155.9,PF13442.9,PF14579.9,PF00034.24,PF18555.4
1,0.03,0.65,0.31,0.00990099,0,0.07,0.93,0,0,0.98,0.02,0,0.11,0.8,0,0,0,0,0,0,0.91,0.33,0.254878049,0,0,0.440298507,0.003003003,0,0,0.045296167,0.00255102,0,0.448717949,0.348837209,0,0.222361809,0.254065041,0,0,0.058913542,0.111111111,0,0,0.053364269,0,0.004545455,0,0.005252101,0,0,0.00173913,0.046617916,0,0,0,0.007194245,0,0.036996736,0,0.045528455,0.197340798,0,0.439716312,0.084828711,0.492753623,0.012711864,0,0.012755102,0.344894027,0.004672897,0.448453608,0.013667426,0.032786885,0,0,0.007246377,0,0.005128205,0.085447263,0,0,0.427272727,0.001769912,0.007653061,0.008928571,0,0.357588358,0,0.017460317,0,0.044987147,0.080503145,0.437810945,0,0,0,0,0.446153846,0.0456621,0.057142857,0.069708492,0,0.445273632,0.044776119,0,0.044827586,0.001459854,0.261874198,0.002217295,0.00255102,0.323586745,0.276131045,0.376,0.306397306,0.005961252,0.037790698,0.02804878,0,0,0,0.02173913,0,0,0,0,0,0,0.355509356,0.004590666,0.453846154,0,0.043875686,0,0,0,0,0,0,0,0,0,0,0
1,0,0.05,0.21,0.722772277,0,0.11,0.89,0,0,0.95,0.05,0,0,0.05,0,0,0.7,0,0.74,0,0,0,0.082926829,0,0.039443155,0,0.144144144,0,0.017156863,0.010452962,0.147959184,0,0,0,0,0.060301508,0.087398374,0,0,0.112471308,0.100694444,0,0.210280374,0.118329466,0,0.015454545,0.009174312,0.06092437,0,0,0.083478261,0.15630713,0.224299065,0.015521064,0,0,0,0.149075082,0,0.139837398,0.050384885,0,0,0.106035889,0,0.012711864,0,0.158163265,0.125240848,0.224299065,0,0.077448747,0,0,0.224299065,0,0.105527638,0,0.105473965,0.010676157,0,0,0.012389381,0.147959184,0,0.224299065,0,0,0.092063492,0,0.100899743,0.085534591,0,0.224299065,0,0.209606987,0,0,0.165296804,0.107936508,0.091254753,0,0.119402985,0,0,0.010344828,0.010218978,0.003851091,0.137472284,0.096938776,0.093567251,0,0.136,0,0,0.004360465,0.003658537,0,0.035971223,0.015306122,0.033596838,0.210280374,0,0,0,0.328282828,0,0,0.01606733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.14,0.52,0.326732673,0,0,0.54,0.46,0,0.92,0.08,0,0.66,0.1,0,0,0,0,0.9,0,0.02,0.02,0.052439024,0,0,0,0.264264264,0,0,0.902439024,0.030612245,0,0,0,0,0.056532663,0.06402439,0,0.008547009,0.218821729,0.078125,0,0.303738318,0,0,0.016363636,0.009174312,0.036764706,0,0.174418605,0,0.311700183,0.210280374,0,0.164285714,0.467625899,0,0.038084875,0,0.016260163,0.053184045,0,0,0.021207178,0,0.008474576,0.095063985,0.219387755,0.121387283,0.219626168,0,0.061503417,0.027322404,0,0.242990654,0.471014493,0,0,0.257676903,0,0,0,0,0.020408163,0,0.210280374,0,0.007117438,0.287301587,0,0.04562982,0.075471698,0,0.242990654,0,0,0.325153374,0,0.082191781,0.311111111,0.640050697,0,0.161691542,0.041044776,0,0.7,0,0.01283697,0.11751663,0.025510204,0.10331384,0.070202808,0.024,0.005050505,0.113263785,0.033430233,0.002439024,0,0,0,0,0.317757009,0,0.010989011,0.402366864,0,0,0,0.016832441,0,0.01183432,0.100548446,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.99009901,0,0,0,1,0,1,0,0,0,0.06,0.53,0,0,0,0,0,1,0,0.087804878,0.629251701,0.278422274,0.18159204,0,0,0,0.020905923,0,0,0,0.141472868,0,0.090452261,0.017276423,0,0.141025641,0.004590666,0.185763889,0,0,0.252900232,0,0.001818182,0.006116208,0.305672269,0,0,0.071304348,0.015539305,0,0.046563193,0,0,0.143518519,0.01523395,0,0.029268293,0.041287614,0,0,0.003262643,0.208695652,0.016949153,0,0,0.05973025,0,0,0.013667426,0.071038251,0,0,0,0.095477387,0.102564103,0.017356475,0,0.32231405,0,0.003539823,0.051020408,0,0,0,0,0.001587302,0,0,0.003773585,0.18159204,0,0,0.218340611,0,0.18974359,0.037442922,0.006349206,0.058301648,0.181818182,0.184079602,0.039179104,0.276315789,0.020689655,0.002919708,0.052631579,0,0,0.081871345,0.115444618,0.062,0.121212121,0.119225037,0.059593023,0.05,0,0.118705036,0.066326531,0.059288538,0,0.299638989,0.203296703,0,0,0,0.153846154,0.030604438,0,0.218934911,0.074954296,0,0.156862745,0.156862745,0.150326797,0.120743034,0.416666667,0.116071429,0,0.14379085,0,0
1,0,0.02,0.39,0.594059406,0,0,0.9,0.1,0,0.93,0.05,0,0,0.03,0.02,0,0.5,0,0,0,0,0,0.069512195,0,0,0,0.111111111,0,0.102941176,0.114982578,0.010204082,0,0.002564103,0,0,0,0.051829268,0,0.008547009,0.151491966,0.019097222,0,0,0.032482599,0,0.015454545,0.003058104,0.010504202,0.00210084,0,0.00173913,0.358318099,0,0,0.471428571,0,0.00462963,0.228509249,0,0.188617886,0.072078376,0,0.002364066,0.099510604,0,0.016949153,0,0,0.001926782,0.126168224,0,0.161731207,0.240437158,0,0,0,0,0,0.435246996,0,0,0.002272727,0,0.010204082,0,0,0,0,0.341269841,0,0.140102828,0.174842767,0,0,0,0,0,0,0.104109589,0.380952381,0.409378961,0,0,0.003731343,0,0.024137931,0,0,0.013303769,0.06122449,0,0,0,0,0.105812221,0,0,0,0.028776978,0.020408163,0.045454545,0,0,0.098901099,0,0,0,0,0.013006886,0.002564103,0.106508876,0.003656307,0,0,0,0,0,0,0,0,0,0,0
1,0.06,0.37,0.25,0.297029703,0,0,0,0,1,1,0,0,0,0.11,0.79,0,0,0,0.25,0,0.56,0,0.167073171,0,0.034802784,0.024875622,0.06006006,0,0,0.069686411,0,0,0,0.019379845,0,0.116834171,0.134146341,0,0.021367521,0.168324407,0.050347222,0.090909091,0.093457944,0.034802784,0,0.026363636,0.01529052,0.021008403,0,0,0.144347826,0.049360146,0.093457944,0.248337029,0,0,0,0.079434168,0.008944544,0.047154472,0.177746676,0,0,0.231647635,0.028985507,0,0.027422303,0,0.046242775,0.093457944,0,0.223234624,0.027322404,0,0.070093458,0,0.075376884,0,0.032042724,0,0,0,0.042477876,0.025510204,0.089285714,0.093457944,0.01039501,0.017793594,0.007936508,0,0.13496144,0.049056604,0.024875622,0.093457944,0,0.021834061,0.09202454,0.012820513,0.178995434,0.031746032,0.068441065,0.041322314,0.072139303,0.100746269,0.065789474,0.017241379,0.035036496,0.019255456,0.053215078,0,0.046783626,0.174726989,0.068,0.016835017,0.09538003,0.135174419,0.08902439,0.019685039,0.053956835,0.025510204,0.04743083,0.093457944,0.086642599,0,0,0.025252525,0,0.020790021,0.026013772,0,0,0.170018282,0,0.065359477,0.065359477,0.065359477,0,0.2,0.044642857,0,0.065359477,0,0
1,0,0,0.38,0.623762376,0,0,0,1,0,0.88,0.12,0,0.88,0,0,0,0,0,0,0,0,0,0.063414634,0.039115646,0.238979118,0,0.24024024,0,0.014705882,0,0.160714286,0,0,0,0,0.050251256,0.070121951,0,0.123931624,0,0.098958333,0,0.186915888,0.238979118,0,0,0.033639144,0.090336134,0.023109244,0,0.019130435,0.047531993,0.186915888,0.064301552,0,0.244604317,0.050925926,0.025027203,0,0.214634146,0.023792862,0.034482759,0,0,0,0,0.073126143,0.015306122,0.077071291,0.186915888,0,0.118451025,0.12568306,0,0.186915888,0.289855072,0.055276382,0.174358974,0.069425901,0,0.280991736,0,0,0.293367347,0,0.186915888,0,0,0.073015873,0,0,0.079245283,0,0.186915888,0.046875,0,0.245398773,0,0.126027397,0.082539683,0.06590621,0,0.099502488,0.01119403,0,0,0,0.029525032,0.088691796,0.160714286,0.07797271,0.062402496,0.034,0,0.093889717,0.00872093,0.020731707,0.043307087,0.082733813,0,0.102766798,0.186915888,0.104693141,0,0.236686391,0.085858586,0,0,0.00841622,0,0,0.095063985,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.76,0.237623762,0,0,0,1,0,0.97,0.03,0,0,0.99,0,0,0,0,0,0.99,0,0,0.035365854,0.010204082,0.009280742,0.002487562,0,0.675159236,0.00245098,0.153310105,0.270408163,0,0.002564103,0.001937984,0.658385093,0.130653266,0.114837398,0,0.004273504,0.256312165,0.041666667,0.009090909,0,0.016241299,0,0.113636364,0.003058104,0.007352941,0.021008403,0,0.029565217,0.091407678,0,0.002217295,0.135714286,0.014388489,0.009259259,0.065288357,0.186046512,0.107317073,0.230230931,0,0.002364066,0.16639478,0.002898551,0,0,0.278061224,0.204238921,0,0.00257732,0.145785877,0.322404372,0,0,0.014492754,0.020100503,0.005128205,0.101468625,0,0.016528926,0.002272727,0,0.265306122,0,0,0.002079002,0,0.011111111,0.668789809,0.189588689,0.074213836,0.002487562,0,0.0078125,0,0,0.002564103,0.17260274,0.103174603,0.139416984,0,0.004975124,0.035447761,0.006578947,0.151724138,0,0.042362003,0.00443459,0.267857143,0.001949318,0.001560062,0.058,0.178451178,0.005961252,0.043604651,0.035365854,0,0.287769784,0.025510204,0.009881423,0,0.003610108,0,0,0.535353535,0.65408805,0.002079002,0.160673298,0.002564103,0,0,0.006060606,0,0,0,0,0,0,0,0,0,0
1,0,0.38,0.5,0.118811881,0,0,0,0.04,0.96,0.96,0.04,0,0.04,0.52,0.37,0,0,0,0.04,0,0.73,0,0.137804878,0,0.11136891,0.119402985,0.012012012,0,0,0.097560976,0.010204082,0,0,0.093023256,0,0.10678392,0.179878049,0.059701493,0.017094017,0.163733741,0.020833333,0,0.018691589,0.11136891,0,0.102727273,0.036697248,0.004201681,0,0,0.076521739,0.0511883,0.018691589,0.062084257,0,0,0,0.043525571,0.093023256,0.045528455,0.205738279,0.091954023,0,0.275693312,0.162318841,0,0.007312614,0,0.115606936,0.018691589,0,0.157175399,0,0.012195122,0.018691589,0,0.060301508,0,0.021361816,0,0.033057851,0,0.042477876,0.010204082,0,0.018691589,0.108108108,0,0.012698413,0,0.132390746,0.035220126,0.139303483,0.018691589,0.0625,0.017467249,0.024539877,0.133333333,0.043835616,0.025396825,0.055766793,0.033057851,0.139303483,0.007462687,0,0.068965517,0.02919708,0.077021823,0.133037694,0.010204082,0.109161793,0.138845554,0.08,0.087542088,0.180327869,0.087209302,0.073170732,0.031496063,0.086330935,0.020408163,0.015810277,0.018691589,0.014440433,0,0,0.161616162,0,0.108108108,0.117061974,0,0,0.126142596,0,0,0,0,0,0.033333333,0,0.073619632,0.026143791,0.045977011,0
1,0.69,0.22,0.09,0,0,0.74,0.26,0,0,0.88,0.12,0.03,0,0.23,0.12,0,0,0.01,0,0,0.01,0.01,0.067073171,0.013605442,0.002320186,0,0.126126126,0,0.026960784,0.027874564,0.025510204,0.230769231,0.043589744,0,0,0.003768844,0.018292683,0,0,0.031369549,0.178819444,0,0,0.002320186,0,0.130909091,0.28440367,0.12394958,0,0,0.005217391,0.144424132,0,0,0.028571429,0,0.018518519,0.213275299,0,0.048780488,0.043386984,0.017241379,0.054373522,0.001631321,0,0.004237288,0,0,0,0,0,0.132118451,0,0,0,0,0.005025126,0.076923077,0.068090788,0,0.008264463,0,0.309734513,0.017857143,0,0,0,0,0.080952381,0,0.026349614,0.065408805,0,0,0.046875,0.030567686,0,0.007692308,0.368949772,0.036507937,0.088719899,0,0,0,0.046052632,0,0.20729927,0.061617458,0,0.015306122,0.005847953,0.004680187,0,0,0,0.049418605,0.070731707,0.334645669,0,0.020408163,0.12055336,0,0.223826715,0.005494505,0,0,0,0,0.129303749,0.043589744,0.00591716,0,0,0,0,0,0,0,0,0,0,0,0
